"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2010","DE27E","Number","ICCS0101","2",""
"2010","DE3","Number","ICCS0101","41",""
"2010","DE300","Number","ICCS0101","41",""
"2010","DE4","Number","ICCS0101","40",""
"2010","DE401","Number","ICCS0101","2",""
"2010","DE402","Number","ICCS0101","0",""
"2010","DE403","Number","ICCS0101","1",""
"2010","DE404","Number","ICCS0101","0",""
"2010","DE405","Number","ICCS0101","10",""
"2010","DE406","Number","ICCS0101","6",""
"2010","DE407","Number","ICCS0101","1",""
"2010","DE408","Number","ICCS0101","4",""
"2010","DE409","Number","ICCS0101","1",""
"2010","DE40A","Number","ICCS0101","8",""
"2010","DE40B","Number","ICCS0101","4",""
"2010","DE40C","Number","ICCS0101","0",""
"2010","DE40D","Number","ICCS0101","0",""
"2010","DE40E","Number","ICCS0101","0",""
"2010","DE40F","Number","ICCS0101","0",""
"2010","DE40G","Number","ICCS0101","2",""
"2010","DE40H","Number","ICCS0101","0",""
"2010","DE40I","Number","ICCS0101","1",""
"2010","DE5","Number","ICCS0101","10",""
"2010","DE501","Number","ICCS0101","9",""
"2010","DE502","Number","ICCS0101","1",""
"2010","DE6","Number","ICCS0101","18",""
"2010","DE600","Number","ICCS0101","18",""
"2010","DE7","Number","ICCS0101","61",""
"2010","DE711","Number","ICCS0101","2",""
"2010","DE712","Number","ICCS0101","13",""
"2010","DE713","Number","ICCS0101","0",""
"2010","DE714","Number","ICCS0101","2",""
"2010","DE715","Number","ICCS0101","1",""
"2010","DE716","Number","ICCS0101","2",""
"2010","DE717","Number","ICCS0101","3",""
"2010","DE718","Number","ICCS0101","1",""
"2010","DE719","Number","ICCS0101","4",""
"2010","DE71A","Number","ICCS0101","0",""
"2010","DE71B","Number","ICCS0101","2",""
"2010","DE71C","Number","ICCS0101","1",""
"2010","DE71D","Number","ICCS0101","0",""
"2010","DE71E","Number","ICCS0101","1",""
"2010","DE721","Number","ICCS0101","4",""
"2010","DE722","Number","ICCS0101","5",""
"2010","DE723","Number","ICCS0101","2",""
"2010","DE724","Number","ICCS0101","3",""
"2010","DE725","Number","ICCS0101","0",""
"2010","DE731","Number","ICCS0101","5",""
"2010","DE732","Number","ICCS0101","0",""
"2010","DE733","Number","ICCS0101","3",""
"2010","DE734","Number","ICCS0101","2",""
"2010","DE735","Number","ICCS0101","2",""
"2010","DE736","Number","ICCS0101","2",""
"2010","DE737","Number","ICCS0101","0",""
"2010","DE8","Number","ICCS0101","10",""
