"TIME","GEO","GEO_LABEL","UNIT","UNIT_LABEL","ICCS","ICCS_LABEL","Value","Flag and Footnotes"
"2010","FR52","Bretagne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","31",""
"2010","FR521","Côtes-d'Armor (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR522","Finistère (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","13",""
"2010","FR523","Ille-et-Vilaine (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","9",""
"2010","FR524","Morbihan (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR53","Poitou-Charentes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","8",""
"2010","FR531","Charente (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR532","Charente-Maritime (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR533","Deux-Sèvres (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR534","Vienne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR6","Sud-Ouest (FR) (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","66",""
"2010","FR61","Aquitaine (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","36",""
"2010","FR611","Dordogne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR612","Gironde (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","18",""
"2010","FR613","Landes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR614","Lot-et-Garonne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","9",""
"2010","FR615","Pyrénées-Atlantiques (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR62","Midi-Pyrénées (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","24",""
"2010","FR621","Ariège (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR622","Aveyron (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR623","Haute-Garonne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","13",""
"2010","FR624","Gers (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","0",""
"2010","FR625","Lot (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR626","Hautes-Pyrénées (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR627","Tarn (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR628","Tarn-et-Garonne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR63","Limousin (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR631","Corrèze (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR632","Creuse (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","0",""
"2010","FR633","Haute-Vienne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR7","Centre-Est (FR) (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","66",""
"2010","FR71","Rhône-Alpes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","52",""
"2010","FR711","Ain (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","7",""
"2010","FR712","Ardèche (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR713","Drôme (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR714","Isère (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","20",""
"2010","FR715","Loire (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR716","Rhône (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","8",""
"2010","FR717","Savoie (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR718","Haute-Savoie (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR72","Auvergne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","14",""
"2010","FR721","Allier (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR722","Cantal (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR723","Haute-Loire (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","0",""
"2010","FR724","Puy-de-Dôme (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","8",""
"2010","FR8","Méditerranée (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","151",""
"2010","FR81","Languedoc-Roussillon (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","37",""
"2010","FR811","Aude (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR812","Gard (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR813","Hérault (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","19",""
"2010","FR814","Lozère (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","0",""
"2010","FR815","Pyrénées-Orientales (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","10",""
"2010","FR82","Provence-Alpes-Côte d'Azur (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","95",""
"2010","FR821","Alpes-de-Haute-Provence (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR822","Hautes-Alpes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR823","Alpes-Maritimes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","31",""
"2010","FR824","Bouches-du-Rhône (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","46",""
"2010","FR825","Var (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","9",""
"2010","FR826","Vaucluse (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR83","Corse (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","19",""
"2010","FR831","Corse-du-Sud (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","13",""
"2010","FR832","Haute-Corse (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
