"DATASET: Crimes recorded by the police by NUTS 3 regions  [crim_gen_reg]"

"LAST UPDATE: 17.09.15 14:01:28"

"EXTRACTION DATE: 13.03.19 10:36:25"

"SOURCE OF DATA: Eurostat"

"TIME"
"2010"

"GEO"
"FR - France"
"FR821 - Alpes-de-Haute-Provence (NUTS 2013)"
"FR822 - Hautes-Alpes (NUTS 2013)"
"FR823 - Alpes-Maritimes (NUTS 2013)"
"FR824 - Bouches-du-Rhône (NUTS 2013)"
"FR825 - Var (NUTS 2013)"
"FR826 - Vaucluse (NUTS 2013)"
"FR83 - Corse (NUTS 2013)"
"FR831 - Corse-du-Sud (NUTS 2013)"
"FR832 - Haute-Corse (NUTS 2013)"

"UNIT"
"NR - Number"

"ICCS"
"ICCS0101 - Intentional homicide"

"No footnotes available"

"Available flags:"
"b","break in time series"
"c","confidential"
"d","definition differs, see metadata"
"e","estimated"
"f","forecast"
"n","not significant"
"p","provisional"
"r","revised"
"s","Eurostat estimate"
"u","low reliability"
"z","not applicable"

"Special value:"
":","not available"

