"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2017","DE712","NR","5,988",""
"2017","DE713","NR","1,109",""
"2017","DE714","NR","2,873",""
"2017","DE715","NR","3,133",""
"2017","DE716","NR","3,111",""
"2017","DE717","NR","2,519",""
"2017","DE718","NR","2,449",""
"2017","DE719","NR","4,365",""
"2017","DE71A","NR","2,222",""
"2017","DE71B","NR","1,258",""
"2017","DE71C","NR","3,568",""
"2017","DE71D","NR","1,954",""
"2017","DE71E","NR","3,401",""
"2017","DE72","NR","12,049",""
"2017","DE721","NR","2,738",""
"2017","DE722","NR","3,126",""
"2017","DE723","NR","2,054",""
"2017","DE724","NR","2,694",""
"2017","DE725","NR","1,437",""
"2017","DE73","NR","14,924",""
"2017","DE731","NR","2,130",""
"2017","DE732","NR","2,318",""
"2017","DE733","NR","1,551",""
"2017","DE734","NR","3,070",""
"2017","DE735","NR","2,320",""
"2017","DE736","NR","2,060",""
"2017","DE737","NR","1,475",""
"2017","DE8","NR","20,736",""
"2017","DE80","NR","20,736",""
"2017","DE803","NR","2,366",""
"2017","DE804","NR","1,236",""
"2017","DE80J","NR","3,624",""
"2017","DE80K","NR","2,696",""
"2017","DE80L","NR","3,076",""
"2017","DE80M","NR","1,866",""
"2017","DE80N","NR","3,328",""
"2017","DE80O","NR","2,544",""
"2017","DE9","NR","93,713",""
"2017","DE91","NR","20,148",""
"2017","DE911","NR","2,876",""
"2017","DE912","NR","1,448",""
"2017","DE913","NR","1,492",""
"2017","DE914","NR","1,875",""
"2017","DE915","NR",":",""
"2017","DE916","NR","2,123",""
"2017","DE917","NR","1,333",""
"2017","DE918","NR","1,922",""
"2017","DE919","NR",":",""
"2017","DE91A","NR","1,614",""
"2017","DE91B","NR","1,498",""
"2017","DE91C","NR","3,967",""
"2017","DE92","NR","25,891",""
"2017","DE922","NR","2,473",""
"2017","DE923","NR","2,050",""
"2017","DE925","NR","3,768",""
"2017","DE926","NR","1,056",""
"2017","DE927","NR","1,591",""
"2017","DE928","NR","2,277",""
"2017","DE929","NR","12,676",""
"2017","DE93","NR","20,216",""
"2017","DE931","NR","2,153",""
"2017","DE932","NR","2,730",""
"2017","DE933","NR","2,591",""
"2017","DE934","NR","740",""
"2017","DE935","NR","1,907",""
"2017","DE936","NR","1,319",""
"2017","DE937","NR","1,946",""
"2017","DE938","NR","1,713",""
"2017","DE939","NR","2,168",""
"2017","DE93A","NR","1,333",""
"2017","DE93B","NR","1,616",""
"2017","DE94","NR","27,458",""
"2017","DE941","NR","871",""
"2017","DE942","NR","630",""
"2017","DE943","NR","1,723",""
"2017","DE944","NR","1,597",""
"2017","DE945","NR","1,186",""
"2017","DE946","NR","1,304",""
"2017","DE947","NR","2,442",""
"2017","DE948","NR","1,608",""
"2017","DE949","NR","3,210",""
"2017","DE94A","NR","1,226",""
"2017","DE94B","NR","1,464",""
"2017","DE94C","NR","1,953",""
"2017","DE94D","NR","1,439",""
"2017","DE94E","NR","3,762",""
"2017","DE94F","NR","1,131",""
"2017","DE94G","NR","1,173",""
"2017","DE94H","NR","739",""
"2017","DEA","NR","204,842",""
"2017","DEA1","NR","61,762",""
"2017","DEA11","NR","6,252",""
"2017","DEA12","NR","6,122",""
"2017","DEA13","NR","7,415",""
"2017","DEA14","NR","2,763",""
"2017","DEA15","NR","3,136",""
"2017","DEA16","NR","2,218",""
"2017","DEA17","NR","2,761",""
"2017","DEA18","NR","1,289",""
"2017","DEA19","NR","2,063",""
"2017","DEA1A","NR","4,353",""
"2017","DEA1B","NR","3,604",""
"2017","DEA1C","NR","5,843",""
"2017","DEA1D","NR","5,066",""
"2017","DEA1E","NR","3,326",""
"2017","DEA1F","NR","5,551",""
"2017","DEA2","NR","46,789",""
"2017","DEA22","NR","2,999",""
"2017","DEA23","NR","9,628",""
"2017","DEA24","NR","1,774",""
"2017","DEA26","NR","3,179",""
"2017","DEA27","NR","5,239",""
"2017","DEA28","NR","2,307",""
"2017","DEA29","NR","2,936",""
