"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2017","DE252","Inhabitants per square kilometre","1,455.5",""
"2017","DE253","Inhabitants per square kilometre","1,999.4",""
"2017","DE254","Inhabitants per square kilometre","2,775.2",""
"2017","DE255","Inhabitants per square kilometre","993.8",""
"2017","DE256","Inhabitants per square kilometre","92.7",""
"2017","DE257","Inhabitants per square kilometre","241.9",""
"2017","DE258","Inhabitants per square kilometre","378.1",""
"2017","DE259","Inhabitants per square kilometre","211.9",""
"2017","DE25A","Inhabitants per square kilometre","78.5",""
"2017","DE25B","Inhabitants per square kilometre","141.2",""
"2017","DE25C","Inhabitants per square kilometre","98.4",""
"2017","DE26","Inhabitants per square kilometre","154.4",""
"2017","DE261","Inhabitants per square kilometre","1,140.3",""
"2017","DE262","Inhabitants per square kilometre","1,516.6",""
"2017","DE263","Inhabitants per square kilometre","1,452.0",""
"2017","DE264","Inhabitants per square kilometre","250.0",""
"2017","DE265","Inhabitants per square kilometre","90.7",""
"2017","DE266","Inhabitants per square kilometre","78.1",""
"2017","DE267","Inhabitants per square kilometre","88.8",""
"2017","DE268","Inhabitants per square kilometre","132.3",""
"2017","DE269","Inhabitants per square kilometre","181.5",""
"2017","DE26A","Inhabitants per square kilometre","96.3",""
"2017","DE26B","Inhabitants per square kilometre","137.2",""
"2017","DE26C","Inhabitants per square kilometre","166.7",""
"2017","DE27","Inhabitants per square kilometre","188.7",""
"2017","DE271","Inhabitants per square kilometre","1,981.1",""
"2017","DE272","Inhabitants per square kilometre","1,082.7",""
"2017","DE273","Inhabitants per square kilometre","1,078.2",""
"2017","DE274","Inhabitants per square kilometre","619.7",""
"2017","DE275","Inhabitants per square kilometre","169.7",""
"2017","DE276","Inhabitants per square kilometre","232.4",""
"2017","DE277","Inhabitants per square kilometre","121.6",""
"2017","DE278","Inhabitants per square kilometre","163.8",""
"2017","DE279","Inhabitants per square kilometre","335.5",""
"2017","DE27A","Inhabitants per square kilometre","285.4",""
"2017","DE27B","Inhabitants per square kilometre","101.2",""
"2017","DE27C","Inhabitants per square kilometre","115.6",""
"2017","DE27D","Inhabitants per square kilometre","104.6",""
"2017","DE27E","Inhabitants per square kilometre","101.5",""
"2017","DE3","Inhabitants per square kilometre","4,248.4",""
"2017","DE30","Inhabitants per square kilometre","4,248.4",""
"2017","DE300","Inhabitants per square kilometre","4,248.4",""
"2017","DE4","Inhabitants per square kilometre","86.1",""
"2017","DE40","Inhabitants per square kilometre","86.1",""
"2017","DE401","Inhabitants per square kilometre","366.2",""
"2017","DE402","Inhabitants per square kilometre","610.5",""
"2017","DE403","Inhabitants per square kilometre","404.3",""
"2017","DE404","Inhabitants per square kilometre","1,016.1",""
"2017","DE405","Inhabitants per square kilometre","125.6",""
"2017","DE406","Inhabitants per square kilometre","75.5",""
"2017","DE407","Inhabitants per square kilometre","55.2",""
"2017","DE408","Inhabitants per square kilometre","93.9",""
"2017","DE409","Inhabitants per square kilometre","90.4",""
"2017","DE40A","Inhabitants per square kilometre","118.1",""
"2017","DE40B","Inhabitants per square kilometre","95.7",""
"2017","DE40C","Inhabitants per square kilometre","81.0",""
"2017","DE40D","Inhabitants per square kilometre","40.2",""
"2017","DE40E","Inhabitants per square kilometre","83.5",""
"2017","DE40F","Inhabitants per square kilometre","36.5",""
"2017","DE40G","Inhabitants per square kilometre","71.3",""
"2017","DE40H","Inhabitants per square kilometre","79.4",""
"2017","DE40I","Inhabitants per square kilometre","40.4",""
"2017","DE5","Inhabitants per square kilometre","1,738.9",""
"2017","DE50","Inhabitants per square kilometre","1,738.9",""
"2017","DE501","Inhabitants per square kilometre","1,828.6",""
"2017","DE502","Inhabitants per square kilometre","1,395.4",""
"2017","DE6","Inhabitants per square kilometre","2,564.1",""
"2017","DE60","Inhabitants per square kilometre","2,564.1",""
"2017","DE600","Inhabitants per square kilometre","2,564.1",""
"2017","DE7","Inhabitants per square kilometre","296.0",""
"2017","DE71","Inhabitants per square kilometre","536.1",""
"2017","DE711","Inhabitants per square kilometre","1,293.8",""
"2017","DE712","Inhabitants per square kilometre","3,027.1",""
"2017","DE713","Inhabitants per square kilometre","2,855.1",""
"2017","DE714","Inhabitants per square kilometre","1,397.7",""
"2017","DE715","Inhabitants per square kilometre","377.4",""
"2017","DE716","Inhabitants per square kilometre","448.9",""
"2017","DE717","Inhabitants per square kilometre","611.4",""
"2017","DE718","Inhabitants per square kilometre","488.6",""
"2017","DE719","Inhabitants per square kilometre","299.5",""
"2017","DE71A","Inhabitants per square kilometre","1,069.4",""
"2017","DE71B","Inhabitants per square kilometre","154.7",""
"2017","DE71C","Inhabitants per square kilometre","993.9",""
"2017","DE71D","Inhabitants per square kilometre","232.7",""
"2017","DE71E","Inhabitants per square kilometre","276.9",""
"2017","DE72","Inhabitants per square kilometre","194.3",""
"2017","DE721","Inhabitants per square kilometre","312.3",""
"2017","DE722","Inhabitants per square kilometre","238.6",""
"2017","DE723","Inhabitants per square kilometre","233.1",""
"2017","DE724","Inhabitants per square kilometre","194.6",""
"2017","DE725","Inhabitants per square kilometre","73.1",""
"2017","DE73","Inhabitants per square kilometre","147.4",""
"2017","DE731","Inhabitants per square kilometre","1,885.8",""
"2017","DE732","Inhabitants per square kilometre","160.5",""
"2017","DE733","Inhabitants per square kilometre","110.4",""
"2017","DE734","Inhabitants per square kilometre","183.1",""
"2017","DE735","Inhabitants per square kilometre","117.9",""
"2017","DE736","Inhabitants per square kilometre","85.9",""
"2017","DE737","Inhabitants per square kilometre","98.9",""
"2017","DE8","Inhabitants per square kilometre","71.4",""
"2017","DE80","Inhabitants per square kilometre","71.4",""
"2017","DE803","Inhabitants per square kilometre","1,155.3",""
"2017","DE804","Inhabitants per square kilometre","1,007.7",""
"2017","DE80J","Inhabitants per square kilometre","51.0",""
"2017","DE80K","Inhabitants per square kilometre","63.5",""
"2017","DE80L","Inhabitants per square kilometre","70.8",""
"2017","DE80M","Inhabitants per square kilometre","76.1",""
"2017","DE80N","Inhabitants per square kilometre","60.8",""
"2017","DE80O","Inhabitants per square kilometre","45.6",""
"2017","DE9","Inhabitants per square kilometre","167.9",""
"2017","DE91","Inhabitants per square kilometre","197.3",""
"2017","DE911","Inhabitants per square kilometre","1,293.5",""
"2017","DE912","Inhabitants per square kilometre","471.1",""
"2017","DE913","Inhabitants per square kilometre","607.4",""
"2017","DE914","Inhabitants per square kilometre","111.7",""
"2017","DE915","Inhabitants per square kilometre",":",""
"2017","DE916","Inhabitants per square kilometre","143.7",""
"2017","DE917","Inhabitants per square kilometre","136.3",""
"2017","DE918","Inhabitants per square kilometre","105.3",""
"2017","DE919","Inhabitants per square kilometre",":",""
"2017","DE91A","Inhabitants per square kilometre","250.3",""
"2017","DE91B","Inhabitants per square kilometre","166.9",""
"2017","DE91C","Inhabitants per square kilometre","187.2",""
"2017","DE92","Inhabitants per square kilometre","238.2",""
"2017","DE922","Inhabitants per square kilometre","109.1",""
"2017","DE923","Inhabitants per square kilometre","186.5",""
"2017","DE925","Inhabitants per square kilometre","230.0",""
"2017","DE926","Inhabitants per square kilometre","102.9",""
"2017","DE927","Inhabitants per square kilometre","87.5",""
"2017","DE928","Inhabitants per square kilometre","234.4",""
"2017","DE929","Inhabitants per square kilometre","508.7",""
"2017","DE93","Inhabitants per square kilometre","110.8",""
"2017","DE931","Inhabitants per square kilometre","115.4",""
"2017","DE932","Inhabitants per square kilometre","97.3",""
"2017","DE933","Inhabitants per square kilometre","202.5",""
"2017","DE934","Inhabitants per square kilometre","40.0",""
"2017","DE935","Inhabitants per square kilometre","138.7",""
"2017","DE936","Inhabitants per square kilometre","174.8",""
"2017","DE937","Inhabitants per square kilometre","78.9",""
"2017","DE938","Inhabitants per square kilometre","74.1",""
"2017","DE939","Inhabitants per square kilometre","169.8",""
"2017","DE93A","Inhabitants per square kilometre","63.5",""
"2017","DE93B","Inhabitants per square kilometre","173.7",""
"2017","DE94","Inhabitants per square kilometre","168.6",""
"2017","DE941","Inhabitants per square kilometre","1,246.5",""
"2017","DE942","Inhabitants per square kilometre","463.7",""
"2017","DE943","Inhabitants per square kilometre","1,631.3",""
"2017","DE944","Inhabitants per square kilometre","1,368.5",""
"2017","DE945","Inhabitants per square kilometre","733.3",""
"2017","DE946","Inhabitants per square kilometre","169.9",""
"2017","DE947","Inhabitants per square kilometre","148.6",""
"2017","DE948","Inhabitants per square kilometre","118.0",""
"2017","DE949","Inhabitants per square kilometre","112.3",""
"2017","DE94A","Inhabitants per square kilometre","162.5",""
"2017","DE94B","Inhabitants per square kilometre","138.4",""
"2017","DE94C","Inhabitants per square kilometre","158.0",""
"2017","DE94D","Inhabitants per square kilometre","122.0",""
"2017","DE94E","Inhabitants per square kilometre","167.8",""
"2017","DE94F","Inhabitants per square kilometre","172.1",""
"2017","DE94G","Inhabitants per square kilometre","110.6",""
"2017","DE94H","Inhabitants per square kilometre","86.7",""
"2017","DEA","Inhabitants per square kilometre","529.0",""
"2017","DEA1","Inhabitants per square kilometre","1,004.8",""
"2017","DEA11","Inhabitants per square kilometre","2,986.7",""
"2017","DEA12","Inhabitants per square kilometre","2,331.7",""
"2017","DEA13","Inhabitants per square kilometre","2,817.6",""
"2017","DEA14","Inhabitants per square kilometre","1,679.7",""
"2017","DEA15","Inhabitants per square kilometre","1,538.6",""
"2017","DEA16","Inhabitants per square kilometre","1,880.2",""
"2017","DEA17","Inhabitants per square kilometre","2,745.5",""
"2017","DEA18","Inhabitants per square kilometre","1,494.6",""
"2017","DEA19","Inhabitants per square kilometre","1,765.1",""
"2017","DEA1A","Inhabitants per square kilometre","2,101.1",""
"2017","DEA1B","Inhabitants per square kilometre","257.9",""
"2017","DEA1C","Inhabitants per square kilometre","1,203.7",""
"2017","DEA1D","Inhabitants per square kilometre","792.3",""
"2017","DEA1E","Inhabitants per square kilometre","534.1",""
"2017","DEA1F","Inhabitants per square kilometre","458.9",""
"2017","DEA2","Inhabitants per square kilometre","609.7",""
"2017","DEA22","Inhabitants per square kilometre","2,380.9",""
"2017","DEA23","Inhabitants per square kilometre","2,778.8",""
"2017","DEA24","Inhabitants per square kilometre","2,149.3",""
"2017","DEA26","Inhabitants per square kilometre","281.0",""
"2017","DEA27","Inhabitants per square kilometre","666.3",""
"2017","DEA28","Inhabitants per square kilometre","154.1",""
"2017","DEA29","Inhabitants per square kilometre","404.0",""
"2017","DEA2A","Inhabitants per square kilometre","300.1",""
"2017","DEA2B","Inhabitants per square kilometre","654.3",""
"2017","DEA2C","Inhabitants per square kilometre","523.1",""
