kod;nazwa;bezrobocie;produkcja;wynagrodzenie;liczba_ludnosci
1019;Powiat zduñskowolski;14,4;19655;3051,23;67248
1020;Powiat zgierski;14,3;24469;3389,26;165206
1021;Powiat brzeziñski;13,1;12748;2647,73;30912
1061;Powiat m.£ódŸ;10,7;19927;3837,47;696503
1062;Powiat m.Piotrków Trybunalski;10,4;20827;2952,79;74694
1063;Powiat m.Skierniewice;10,1;17042;3151,06;48327
1201;Powiat bocheñski;9,2;23864;3359,59;105747
1202;Powiat brzeski;11,4;4930;3048,33;93001
1203;Powiat chrzanowski;13,6;27576;3455,97;126054
1204;Powiat d¹browski;16,9;4360;3178,77;59342
1205;Powiat gorlicki;12,4;7884;2952,4;109049
1206;Powiat krakowski;8,3;27816;3856,94;272591
1207;Powiat limanowski;15,8;12564;3115,85;130289
1208;Powiat miechowski;9,4;2281;3094,46;49505
1209;Powiat myœlenicki;10,4;6334;3003,06;125647
1210;Powiat nowos¹decki;14,6;9134;2989,86;213864
1211;Powiat nowotarski;13,1;9439;3039,93;190757
1212;Powiat olkuski;13,6;29492;3664,13;112863
1213;Powiat oœwiêcimski;11,4;31064;3541,48;154581
1214;Powiat proszowicki;11,2;6631;3180,67;43648
1215;Powiat suski;10,0;17552;3174,31;84184
1216;Powiat tarnowski;13,4;8458;2948;200886
1217;Powiat tatrzañski;13,0;2106;3401,2;67905
1218;Powiat wadowicki;10,9;18061;3004,74;159673
1219;Powiat wielicki;9,3;42439;3661,08;123251
1261;Powiat m.Kraków;5,1;36910;4152,52;765320
1262;Powiat m.Nowy S¹cz;8,9;32136;3193,43;83993
1263;Powiat m.Tarnów;9,7;29734;3513,75;110110
1401;Powiat bia³obrzeski;12,9;13391;3612,78;33523
1402;Powiat ciechanowski;15,9;32107;3564,73;90264
1403;Powiat garwoliñski;14,5;22113;3606,76;108843
1404;Powiat gostyniñski;21,6;7764;3164,95;45682
1405;Powiat grodziski;6,4;25007;4135,31;91647
1406;Powiat grójecki;6,1;23129;3845,3;98559
1407;Powiat kozienicki;16,6;0;4635,34;61045
1408;Powiat legionowski;14,3;6061;3748,86;114421
1409;Powiat lipski;15,3;11136;3372,09;34843
1410;Powiat ³osicki;11,3;8883;3280,27;31544
1411;Powiat makowski;22,9;6577;3169,38;45825
1412;Powiat miñski;10,5;12788;3400,41;152268
1413;Powiat m³awski;12,7;0;2929,91;73700
1414;Powiat nowodworski;12,2;44221;4560,17;79024
1415;Powiat ostro³êcki;17,0;14287;3414,19;88791
1416;Powiat ostrowski;14,5;20112;3395,05;73562
1417;Powiat otwocki;8,2;34097;3718,35;123443
1418;Powiat piaseczyñski;7,2;48092;4118,49;179496
1419;Powiat p³ocki;19,4;10162;3351,79;111170
1420;Powiat p³oñski;16,0;12214;3499,91;87903
1421;Powiat pruszkowski;7,1;20318;4773,19;161645
1422;Powiat przasnyski;15,5;16131;3357,77;53014
1423;Powiat przysuski;24,4;2417;3330,24;42417
1424;Powiat pu³tuski;22,2;5757;3163,84;51746
1425;Powiat radomski;27,0;9481;3062,57;151630
1426;Powiat siedlecki;10,1;11757;3202,45;81580
1427;Powiat sierpecki;22,8;16209;3184,66;52721
1428;Powiat sochaczewski;10,5;31042;3943,02;85175
1429;Powiat soko³owski;11,0;61577;3150,12;54874
1430;Powiat szyd³owiecki;34,4;5719;3081,57;40075
1432;Powiat warszawski zachodni;5,6;25595;4335,48;114079
1433;Powiat wêgrowski;13,8;7358;3256,72;66825
1434;Powiat wo³omiñski;15,2;13624;3583,98;238478
1435;Powiat wyszkowski;10,6;14423;3481,56;73994
1436;Powiat zwoleñski;20,5;0;3350,45;36693
1437;Powiat ¿uromiñski;21,5;4295;3073,81;39586
1438;Powiat ¿yrardowski;15,4;27312;3924,18;76164
1461;Powiat m.Ostro³êka;14,9;61250;4005,26;52337
1462;Powiat m.P³ock;12,0;0;4926,26;121295
1463;Powiat m.Radom;20,2;15922;3598,94;215020
1464;Powiat m.Siedlce;9,2;23784;3647,76;77020
1465;Powiat m. st. Warszawa;4,2;64500;5385,8;1753977
1601;Powiat brzeski;17,2;8686;3400,47;90771
1602;Powiat g³ubczycki;16,7;8890;3299,08;46445
1603;Powiat kêdzierzyñsko-kozielski;12,3;45559;4241,22;95750
1604;Powiat kluczborski;12,3;12795;3381,34;66446
1605;Powiat krapkowicki;8,6;40036;4125,02;64373
1606;Powiat namys³owski;17,0;18870;3446,82;42707
1607;Powiat nyski;16,8;8554;3227,41;138369
1608;Powiat oleski;8,6;30991;3178,31;65101
1609;Powiat opolski;11,7;15715;3210,87;133160
1610;Powiat prudnicki;17,8;5032;3265,4;55915
1611;Powiat strzelecki;8,2;19591;3434,3;75277
1661;Powiat m.Opole;6,0;31136;4009,85;118722
1801;Powiat bieszczadzki;20,3;5485;3378,84;21990
1802;Powiat brzozowski;22,6;5944;3077,51;65990
1803;Powiat dêbicki;12,4;33121;3290,06;135336
1804;Powiat jaros³awski;17,1;8722;3438,32;121299
1805;Powiat jasielski;15,9;11961;3138,2;114533
1806;Powiat kolbuszowski;14,9;5666;3038,55;62472
1807;Powiat kroœnieñski;16,4;6569;2958,89;112193
1808;Powiat le¿ajski;18,9;17371;3225,11;69663
1809;Powiat lubaczowski;15,9;1431;3058,68;56352
1810;Powiat ³añcucki;18,2;11408;3008,61;80464
1811;Powiat mielecki;11,1;44508;3485,31;136315
1812;Powiat ni¿añski;23,0;5308;2978,46;66911
1813;Powiat przemyski;19,0;982;3135,55;74360
1814;Powiat przeworski;17,5;8900;2977,07;78735
1815;Powiat ropczycko-sêdziszowski;18,7;21236;3236,75;73956
1816;Powiat rzeszowski;13,9;13468;3200,41;168337
1817;Powiat sanocki;12,5;17527;3153,53;95485
1818;Powiat stalowowolski;12,3;37298;3513,55;107576
1819;Powiat strzy¿owski;21,5;4314;2891,28;61781
1820;Powiat tarnobrzeski;12,5;28025;3496,49;53481
1821;Powiat leski;22,1;1638;3361,02;26691
1861;Powiat m.Krosno;6,9;33698;3099,79;46565
1862;Powiat m.Przemyœl;17,0;8109;3407,88;62154
1863;Powiat m.Rzeszów;7,5;21715;4087,48;187422
1864;Powiat m.Tarnobrzeg;15,4;10697;3195,25;47595
2001;Powiat augustowski;17,1;8663;3667,63;58905
2002;Powiat bia³ostocki;15,7;10392;3227,35;146254
2003;Powiat bielski;8,5;24178;3938,92;56075
2004;Powiat grajewski;20,4;0;3958,15;48041
2005;Powiat hajnowski;11,0;14841;3538,52;44146
2006;Powiat kolneñski;18,1;0;3314,55;38995
2007;Powiat ³om¿yñski;12,6;24776;3525,59;51305
2008;Powiat moniecki;12,1;9148;3358,7;41254
2009;Powiat sejneñski;15,4;0;3425,25;20417
2010;Powiat siemiatycki;10,6;13079;3157,37;45538
2011;Powiat sokólski;15,6;6804;3339,03;68664
2012;Powiat suwalski;7,4;4243;3114,1;35929
2013;Powiat wysokomazowiecki;7,7;0;3421,03;57903
2014;Powiat zambrowski;13,4;14134;3380;44143
2061;Powiat m.Bia³ystok;11,9;9628;3706,73;296628
2062;Powiat m.£om¿a;15,6;9828;3207,62;62802
2063;Powiat m.Suwa³ki;9,7;16506;3260,75;69626
2201;Powiat bytowski;20,7;18022;3310,32;78834
2202;Powiat chojnicki;16,8;19075;3043,1;96952
2203;Powiat cz³uchowski;21,2;13935;3267,55;56782
2204;Powiat gdañski;8,2;15004;3646,31;111675
2205;Powiat kartuski;8,0;16096;3217,2;131071
2206;Powiat koœcierski;13,2;10820;3004,92;71771
2207;Powiat kwidzyñski;12,7;52799;3675,82;83495
2208;Powiat lêborski;17,1;18813;3459,86;66177
2209;Powiat malborski;21,3;10507;3375,47;64011
2210;Powiat nowodworski;26,5;8975;3350;36018
2211;Powiat pucki;13,9;16245;3505,43;83752
2212;Powiat s³upski;19,2;34467;3409,29;98501
2213;Powiat starogardzki;15,2;22005;3443,68;127502
2214;Powiat tczewski;10,8;64281;3766,37;115836
2215;Powiat wejherowski;14,2;12238;3302,51;211455
2216;Powiat sztumski;22,9;8117;3461,78;42250
2261;Powiat m.Gdañsk;5,5;87533;4814,14;463754
2262;Powiat m.Gdynia;5,8;18158;4457,62;246991
2263;Powiat m.S³upsk;11,1;18819;3384,58;91935
2264;Powiat m.Sopot;4,1;12636;4646,29;36849
2401;Powiat bêdziñski;14,2;10707;3281,19;149720
2402;Powiat bielski;8,5;46148;3453,12;162926
2403;Powiat cieszyñski;9,5;24910;3293,73;177863
2404;Powiat czêstochowski;18,0;15706;3097,47;135611
2405;Powiat gliwicki;9,4;10282;3249,88;115360
2406;Powiat k³obucki;12,9;22346;2871,64;85180
2407;Powiat lubliniecki;11,4;17309;3304,27;76837
2408;Powiat miko³owski;6,8;23656;3431,97;97039
2409;Powiat myszkowski;16,6;22069;3171,04;71670
2410;Powiat pszczyñski;5,5;23634;3254,73;110215
2411;Powiat raciborski;7,4;27470;3579,2;109111
2412;Powiat rybnicki;11,5;12149;3508,61;77703
2413;Powiat tarnogórski;10,4;19307;3307,26;139079
2414;Powiat bieruñsko-lêdziñski;4,8;15020;3621,81;59154
2415;Powiat wodzis³awski;10,6;6502;3139,42;157886
2416;Powiat zawierciañski;14,8;32473;3507,52;119750
2417;Powiat ¿ywiecki;13,2;43285;4067,79;153197
2461;Powiat m.Bielsko-Bia³a;5,2;139218;3930,33;172030
2462;Powiat m.Bytom;19,8;8110;3542,7;169617
2463;Powiat m.Chorzów;10,1;25370;3638,84;109398
2464;Powiat m.Czêstochowa;11,2;36803;3526,81;226225
2465;Powiat m.D¹browa Górnicza;10,8;153523;4445,38;121802
2466;Powiat m.Gliwice;6,4;82884;4482,68;182156
2467;Powiat m.Jastrzêbie-Zdrój;8,9;0;6536,76;89883
2468;Powiat m.Jaworzno;9,3;25060;4714,66;92473
2469;Powiat m.Katowice;4,7;74601;5199,41;298111
2470;Powiat m.Mys³owice;8,8;20418;3704,34;74592
2471;Powiat m.Piekary Œl¹skie;14,3;16888;3594,01;55954
2472;Powiat m.Ruda Œl¹ska;7,9;14879;3438,13;139125
2473;Powiat m.Rybnik;7,6;18462;3607,45;139252
2474;Powiat m.Siemianowice Œl¹skie;13,6;37663;3625,95;67905
